description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Printemps;;2019-04-13;2019-04-29;Besançon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Besançon;Zone A;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Besançon;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Besançon;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Besançon;Zone A;2020-2021
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Bordeaux;Zone A;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Bordeaux;Zone A;2019-2020
Vacances d'Hiver;;2021-02-06;2021-02-22;Bordeaux;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Bordeaux;Zone A;2020-2021
Vacances d'Hiver;;2018-02-10;2018-02-26;Clermont-Ferrand;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Clermont-Ferrand;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Clermont-Ferrand;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Clermont-Ferrand;Zone A;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Clermont-Ferrand;Zone A;2019-2020
Vacances d'Été;;2021-07-05;;Clermont-Ferrand;Zone A;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Dijon;Zone A;2017-2018
Vacances de Printemps;;2018-04-07;2018-04-23;Dijon;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Dijon;Zone A;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Dijon;Zone A;2018-2019
Vacances de Printemps;;2020-04-18;2020-05-04;Dijon;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Dijon;Zone A;2019-2020
Vacances de Printemps;;2021-04-10;2021-04-26;Dijon;Zone A;2020-2021
Vacances de Noël;;2018-12-22;2019-01-07;Grenoble;Zone A;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Grenoble;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Grenoble;Zone A;2019-2020
Vacances de Printemps;;2021-04-10;2021-04-26;Grenoble;Zone A;2020-2021
Vacances de la Toussaint;;2019-10-19;2019-11-04;Limoges;Zone A;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Limoges;Zone A;2019-2020
Vacances d'Hiver;;2020-02-22;2020-03-09;Limoges;Zone A;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Limoges;Zone A;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Lyon;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Lyon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Lyon;Zone A;2018-2019
Vacances d'Hiver;;2020-02-22;2020-03-09;Lyon;Zone A;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Poitiers;Zone A;2017-2018
Pont de l'Ascension;;2020-05-20;2020-05-25;Poitiers;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Poitiers;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Aix-Marseille;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Aix-Marseille;Zone B;2017-2018
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Aix-Marseille;Zone B;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Aix-Marseille;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Aix-Marseille;Zone B;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Amiens;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Amiens;Zone B;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Amiens;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Amiens;Zone B;2019-2020
Vacances d'Hiver;;2020-02-15;2020-03-02;Amiens;Zone B;2019-2020
Vacances de Printemps;;2021-04-24;2021-05-10;Amiens;Zone B;2020-2021
Vacances de Printemps;;2018-04-21;2018-05-07;Caen;Zone B;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Caen;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Caen;Zone B;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Caen;Zone B;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Normandie;Zone B;2020-2021
Vacances d'Été;;2021-07-05;;Normandie;Zone B;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Lille;Zone B;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Lille;Zone B;2018-2019
Vacances de Noël;;2020-12-19;2021-01-04;Lille;Zone B;2020-2021
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Nancy-Metz;Zone B;2018-2019
Vacances d'Hiver;;2020-02-15;2020-03-02;Nancy-Metz;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Nancy-Metz;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Nancy-Metz;Zone B;2020-2021
Vacances d'Hiver;;2021-02-20;2021-03-08;Nancy-Metz;Zone B;2020-2021
Vacances de Printemps;;2021-04-24;2021-05-10;Nancy-Metz;Zone B;2020-2021
Vacances de Printemps;;2019-04-06;2019-04-23;Nantes;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Nantes;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Nantes;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Nantes;Zone B;2019-2020
Vacances de la Toussaint;;2018-10-20;2018-11-05;Nice;Zone B;2018-2019
Vacances de Printemps;;2019-04-06;2019-04-23;Nice;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Nice;Zone B;2018-2019
Vacances d'Hiver;;2018-02-24;2018-03-12;Orléans-Tours;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Orléans-Tours;Zone B;2017-2018
Vacances d'Hiver;;2020-02-15;2020-03-02;Orléans-Tours;Zone B;2019-2020
Vacances de Printemps;;2020-04-11;2020-04-27;Orléans-Tours;Zone B;2019-2020
Vacances d'Hiver;;2021-02-20;2021-03-08;Orléans-Tours;Zone B;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Reims;Zone B;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Reims;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Reims;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Reims;Zone B;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Rennes;Zone B;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Rennes;Zone B;2018-2019
Vacances de Printemps;;2020-04-11;2020-04-27;Rennes;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Rennes;Zone B;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Rouen;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Strasbourg;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Strasbourg;Zone B;2018-2019
Vacances de Noël;;2018-12-22;2019-01-07;Strasbourg;Zone B;2018-2019
Vacances d'Hiver;;2019-02-09;2019-02-25;Strasbourg;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Strasbourg;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Strasbourg;Zone B;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Strasbourg;Zone B;2020-2021
Vacances d'Hiver;;2018-02-17;2018-03-05;Créteil;Zone C;2017-2018
Vacances de Printemps;;2018-04-14;2018-04-30;Créteil;Zone C;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Créteil;Zone C;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Créteil;Zone C;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Créteil;Zone C;2019-2020
Vacances d'Hiver;;2021-02-13;2021-03-01;Créteil;Zone C;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Créteil;Zone C;2020-2021
Vacances d'Hiver;;2018-02-17;2018-03-05;Montpellier;Zone C;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Montpellier;Zone C;2018-2019
Vacances de Printemps;;2020-04-04;2020-04-20;Montpellier;Zone C;2019-2020
Vacances de Printemps;;2021-04-17;2021-05-03;Montpellier;Zone C;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Paris;Zone C;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Paris;Zone C;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Paris;Zone C;2019-2020
Vacances d'Hiver;;2020-02-08;2020-02-24;Paris;Zone C;2019-2020
Vacances d'Hiver;;2018-02-17;2018-03-05;Toulouse;Zone C;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Toulouse;Zone C;2018-2019
Vacances de Noël;;2018-12-22;2019-01-07;Toulouse;Zone C;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Toulouse;Zone C;2019-2020
Vacances de Printemps;;2021-04-17;2021-05-03;Toulouse;Zone C;2020-2021
Vacances de Noël;;2018-12-22;2019-01-07;Versailles;Zone C;2018-2019
Vacances de Noël;;2009-12-21;2010-01-04;Corse;Corse;2009-2010
Vacances d'Hiver;;2010-02-22;2010-03-08;Corse;Corse;2009-2010
Vacances de la Toussaint;;2010-10-25;2010-11-02;Corse;Corse;2010-2011
Vacances d'Été;Enseignants;2011-07-06;2011-09-09;Corse;Corse;2010-2011
Vacances d'Été;Enseignants;2012-07-09;2012-09-10;Corse;Corse;2011-2012
Vacances de Printemps;;2013-04-15;2013-04-29;Corse;Corse;2012-2013
Vacances d'Été;Élèves;2013-07-08;2013-09-06;Corse;Corse;2012-2013
Vacances de Printemps;;2014-04-28;2014-05-12;Corse;Corse;2013-2014
Vacances de Printemps;;2015-04-26;2015-05-11;Corse;Corse;2014-2015
Vacances de Noël;;2015-12-20;2016-01-04;Corse;Corse;2015-2016
Vacances de Printemps;;2017-04-16;2017-05-02;Corse;Corse;2016-2017
Vacances de Noël;;2017-12-25;2018-01-08;Corse;Corse;2017-2018
Vacances de Printemps;;2018-04-23;2018-05-07;Corse;Corse;2017-2018
Vacances de la Toussaint;;2018-10-24;2018-11-05;Corse;Corse;2018-2019
Vacances d'Été;Élèves;2019-07-08;2019-09-03;Corse;Corse;2018-2019
Vacances d'Hiver;;2020-02-15;2020-03-02;Corse;Corse;2019-2020
Vacances de Printemps;;2020-04-18;2020-05-04;Corse;Corse;2019-2020
Vacances d'Été;;2020-07-04;;Corse;Corse;2019-2020
Vacances d'Été;;2018-07-06;2018-09-04;Guadeloupe;Guadeloupe;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Guadeloupe;Guadeloupe;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Guadeloupe;Guadeloupe;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Guyane;Guyane;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Guyane;Guyane;2019-2020
Vacances de Carnaval;;2020-02-15;2020-03-02;Guyane;Guyane;2019-2020
Vacances de Printemps;;2020-04-09;2020-04-27;Guyane;Guyane;2019-2020
Vacances de Carnaval;;2021-02-13;2021-03-01;Guyane;Guyane;2020-2021
Pont de l'Ascension;;2021-05-12;2021-05-17;Guyane;Guyane;2020-2021
Vacances de Carnaval;;2019-02-23;2019-03-11;Martinique;Martinique;2018-2019
Vacances de Printemps;;2020-04-04;2020-04-20;Martinique;Martinique;2019-2020
Vacances de la Toussaint;;2018-10-06;2018-10-22;Mayotte;Mayotte;2018-2019
Vacances de Carnaval;;2021-02-27;2021-03-15;Mayotte;Mayotte;2020-2021
Vacances d'Été;;2021-07-07;;Mayotte;Mayotte;2020-2021
Vacances 2ème période;;2018-06-09;2018-06-24;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances 4ème période;;2019-10-12;2019-10-27;Nouvelle Calédonie;Nouvelle Calédonie;2019
Vacances 4ème période;;2021-10-09;2021-10-24;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances d'Été;Élèves;2021-12-18;2022-02-14;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances 3ème période;;2022-08-06;2022-08-21;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances 4ème période;;2022-10-08;2022-10-23;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances de Noël;;2017-12-16;2018-01-15;Polynésie;Polynésie;2017-2018
Vacances de Février;;2018-02-17;2018-02-26;Polynésie;Polynésie;2017-2018
Grandes Vacances;Enseignants du premier degré;2018-07-05;2018-08-13;Polynésie;Polynésie;2017-2018
Grandes Vacances;Enseignants du premier degré;2019-07-04;2019-08-12;Polynésie;Polynésie;2018-2019
Grandes Vacances;Élèves du premier degré;2019-07-04;2019-08-14;Polynésie;Polynésie;2018-2019
Grandes Vacances;Élèves du second degré;2019-07-06;2019-08-13;Polynésie;Polynésie;2018-2019
Vacances de Septembre;;2019-09-14;2019-09-23;Polynésie;Polynésie;2019-2020
Grandes Vacances;Élèves du second degré;2020-07-04;2020-08-11;Polynésie;Polynésie;2019-2020
Grandes Vacances;Enseignants des lycées;2021-06-26;2021-08-09;Polynésie;Polynésie;2020-2021
Grandes Vacances;Enseignants des collèges;2021-07-03;2021-08-09;Polynésie;Polynésie;2020-2021
Vacances de Noël;;2021-12-11;2022-01-10;Polynésie;Polynésie;2021-2022
Grandes Vacances;Enseignants des lycées;2022-06-25;2022-08-08;Polynésie;Polynésie;2021-2022
Grandes Vacances;Élèves des lycées;2022-06-25;2022-08-09;Polynésie;Polynésie;2021-2022
Grandes Vacances;Enseignants des collèges;2022-07-02;2022-08-08;Polynésie;Polynésie;2021-2022
Grandes Vacances;Élèves des collèges;2022-07-02;2022-08-09;Polynésie;Polynésie;2021-2022
Grandes Vacances;Lycées;2023-06-24;;Polynésie;Polynésie;2022-2023
Vacances après 3ème période;;2018-03-10;2018-03-26;Réunion;Réunion;2017-2018
Vacances après 4ème période;;2018-05-05;2018-05-17;Réunion;Réunion;2017-2018
Vacances après 1ère période;;2018-10-13;2018-10-29;Réunion;Réunion;2018-2019
Vacances après 3ème période;;2019-03-09;2019-03-25;Réunion;Réunion;2018-2019
Vacances d'Été austral;;2019-12-19;2020-01-27;Réunion;Réunion;2019-2020
Vacances d'Hiver austral;Élèves;2020-07-04;2020-08-17;Réunion;Réunion;2019-2020
Vacances d'Hiver austral;;2021-07-07;2021-08-16;Réunion;Réunion;2020-2021
Vacances d'Été;Élèves;2019-07-03;2019-09-05;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Vacances de Noël;;2019-12-20;2020-01-06;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances 1ère période;;2018-03-31;2018-04-16;Wallis et Futuna;Wallis et Futuna;2018
Vacances 4ème période;;2020-10-10;2020-10-26;Wallis et Futuna;Wallis et Futuna;2020
Vacances de la Toussaint;;2017-10-21;2017-11-06;Besançon;Zone A;2017-2018
Vacances de Noël;;2017-12-23;2018-01-08;Besançon;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Besançon;Zone A;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Besançon;Zone A;2018-2019
Vacances d'Hiver;;2021-02-06;2021-02-22;Besançon;Zone A;2020-2021
Vacances d'Hiver;;2019-02-16;2019-03-04;Bordeaux;Zone A;2018-2019
Vacances de Printemps;;2019-04-13;2019-04-29;Bordeaux;Zone A;2018-2019
Vacances d'Hiver;;2020-02-22;2020-03-09;Bordeaux;Zone A;2019-2020
Vacances de Noël;;2017-12-23;2018-01-08;Clermont-Ferrand;Zone A;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Clermont-Ferrand;Zone A;2018-2019
Vacances d'Hiver;;2021-02-06;2021-02-22;Clermont-Ferrand;Zone A;2020-2021
Vacances de Printemps;;2021-04-10;2021-04-26;Clermont-Ferrand;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Clermont-Ferrand;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Dijon;Zone A;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Dijon;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Dijon;Zone A;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Dijon;Zone A;2020-2021
Vacances de Printemps;;2018-04-07;2018-04-23;Grenoble;Zone A;2017-2018
Vacances d'Hiver;;2019-02-16;2019-03-04;Grenoble;Zone A;2018-2019
Vacances d'Hiver;;2020-02-22;2020-03-09;Grenoble;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Grenoble;Zone A;2020-2021
Vacances d'Été;;2021-07-05;;Grenoble;Zone A;2020-2021
Vacances d'Hiver;;2018-02-10;2018-02-26;Limoges;Zone A;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Limoges;Zone A;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Limoges;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Limoges;Zone A;2018-2019
Vacances de Noël;;2020-12-19;2021-01-04;Limoges;Zone A;2020-2021
Vacances d'Hiver;;2021-02-06;2021-02-22;Limoges;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Lyon;Zone A;2017-2018
Vacances de Printemps;;2018-04-07;2018-04-23;Lyon;Zone A;2017-2018
Vacances de Noël;;2019-12-21;2020-01-06;Lyon;Zone A;2019-2020
Vacances d'Hiver;;2021-02-06;2021-02-22;Lyon;Zone A;2020-2021
Vacances de Printemps;;2021-04-10;2021-04-26;Lyon;Zone A;2020-2021
Vacances d'Été;;2021-07-05;;Lyon;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Poitiers;Zone A;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Poitiers;Zone A;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Poitiers;Zone A;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Poitiers;Zone A;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Aix-Marseille;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Aix-Marseille;Zone B;2017-2018
Vacances de Printemps;;2019-04-06;2019-04-23;Aix-Marseille;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Aix-Marseille;Zone B;2019-2020
Vacances de Printemps;;2020-04-11;2020-04-27;Aix-Marseille;Zone B;2019-2020
Vacances de Printemps;;2021-04-24;2021-05-10;Aix-Marseille;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Aix-Marseille;Zone B;2020-2021
Vacances d'Hiver;;2018-02-24;2018-03-12;Amiens;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Caen;Zone B;2018-2019
Vacances d'Hiver;;2019-02-09;2019-02-25;Caen;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Caen;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Caen;Zone B;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Normandie;Zone B;2020-2021
Vacances d'Hiver;;2018-02-24;2018-03-12;Lille;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Lille;Zone B;2017-2018
Vacances d'Hiver;;2019-02-09;2019-02-25;Lille;Zone B;2018-2019
Vacances d'Hiver;;2021-02-20;2021-03-08;Lille;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Lille;Zone B;2020-2021
Vacances d'Été;;2021-07-05;;Lille;Zone B;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Nancy-Metz;Zone B;2017-2018
Vacances d'Hiver;;2018-02-24;2018-03-12;Nancy-Metz;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Nancy-Metz;Zone B;2018-2019
Vacances d'Hiver;;2019-02-09;2019-02-25;Nancy-Metz;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Nancy-Metz;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Nancy-Metz;Zone B;2019-2020
Vacances d'Été;;2021-07-05;;Nancy-Metz;Zone B;2020-2021
Vacances d'Hiver;;2018-02-24;2018-03-12;Nantes;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Nantes;Zone B;2018-2019
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Nice;Zone B;2017-2018
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Nice;Zone B;2018-2019
Vacances d'Été;;2021-07-05;;Nice;Zone B;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Orléans-Tours;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Orléans-Tours;Zone B;2017-2018
Vacances d'Hiver;;2019-02-09;2019-02-25;Orléans-Tours;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Orléans-Tours;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Orléans-Tours;Zone B;2018-2019
Vacances de Noël;;2020-12-19;2021-01-04;Orléans-Tours;Zone B;2020-2021
Vacances de la Toussaint;;2018-10-20;2018-11-05;Reims;Zone B;2018-2019
Vacances d'Hiver;;2019-02-09;2019-02-25;Reims;Zone B;2018-2019
Vacances d'Hiver;;2020-02-15;2020-03-02;Reims;Zone B;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Reims;Zone B;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Rennes;Zone B;2017-2018
Vacances de Noël;;2017-12-23;2018-01-08;Rennes;Zone B;2017-2018
Vacances d'Hiver;;2018-02-24;2018-03-12;Rennes;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Rennes;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Rennes;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Rennes;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Rennes;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Rennes;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Rennes;Zone B;2019-2020
Vacances d'Hiver;;2018-02-24;2018-03-12;Rouen;Zone B;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Rouen;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Rouen;Zone B;2019-2020
Vacances de Printemps;;2018-04-21;2018-05-07;Strasbourg;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Strasbourg;Zone B;2017-2018
Vacances de Printemps;;2019-04-06;2019-04-23;Strasbourg;Zone B;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Strasbourg;Zone B;2019-2020
Vacances de Noël;;2017-12-23;2018-01-08;Créteil;Zone C;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Créteil;Zone C;2018-2019
Vacances de la Toussaint;;2017-10-21;2017-11-06;Montpellier;Zone C;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Montpellier;Zone C;2018-2019
Vacances de Printemps;;2019-04-20;2019-05-06;Montpellier;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Montpellier;Zone C;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Montpellier;Zone C;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Montpellier;Zone C;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Paris;Zone C;2017-2018
Vacances de Printemps;;2019-04-20;2019-05-06;Paris;Zone C;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Paris;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Paris;Zone C;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Paris;Zone C;2019-2020
Vacances d'Été;;2021-07-05;;Paris;Zone C;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Toulouse;Zone C;2017-2018
Vacances de Printemps;;2019-04-20;2019-05-06;Toulouse;Zone C;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Toulouse;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Toulouse;Zone C;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Toulouse;Zone C;2019-2020
Vacances d'Hiver;;2021-02-13;2021-03-01;Toulouse;Zone C;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Toulouse;Zone C;2020-2021
Vacances d'Hiver;;2018-02-17;2018-03-05;Versailles;Zone C;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Versailles;Zone C;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Versailles;Zone C;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Versailles;Zone C;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Versailles;Zone C;2020-2021
Vacances de Printemps;;2021-04-17;2021-05-03;Versailles;Zone C;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Versailles;Zone C;2020-2021
Vacances d'Été;;2011-07-06;2011-09-08;Corse;Corse;2010-2011
Vacances de la Toussaint;;2011-10-24;2011-11-02;Corse;Corse;2011-2012
Vacances de Noël;;2011-12-19;2012-01-03;Corse;Corse;2011-2012
Vacances de la Toussaint;;2012-10-29;2012-11-12;Corse;Corse;2012-2013
Vacances d'Été;Enseignants;2014-07-10;2014-09-03;Corse;Corse;2013-2014
Vacances de la Toussaint;;2014-10-19;2014-11-03;Corse;Corse;2014-2015
Vacances d'Été;Enseignants;2015-07-09;2015-09-02;Corse;Corse;2014-2015
Vacances d'Été;Élèves;2015-07-09;2015-09-03;Corse;Corse;2014-2015
Vacances de la Toussaint;;2015-10-18;2015-11-02;Corse;Corse;2015-2016
Vacances d'Hiver;;2016-02-21;2016-03-07;Corse;Corse;2015-2016
Vacances d'Été;Enseignants;2016-07-07;2016-09-02;Corse;Corse;2015-2016
Vacances d'Hiver;;2017-02-19;2017-03-06;Corse;Corse;2016-2017
Vacances de Noël;;2018-12-24;2019-01-07;Corse;Corse;2018-2019
Vacances de Printemps;;2019-04-22;2019-05-06;Corse;Corse;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Corse;Corse;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Corse;Corse;2019-2020
Vacances de la Toussaint;;2019-10-19;2019-11-04;Guadeloupe;Guadeloupe;2019-2020
Mi-carême;Guadeloupe & Saint-Martin;2020-03-19;2020-03-19;Guadeloupe;Guadeloupe;2019-2020
Abolition de l’esclavage;Saint-Martin;2020-05-27;2020-05-28;Guadeloupe;Guadeloupe;2019-2020
Pont de l'Ascension;;2019-05-31;2019-06-03;Guyane;Guyane;2018-2019
Vacances d'Été;Enseignants;2019-07-08;2019-08-30;Guyane;Guyane;2018-2019
Vacances de la Toussaint;;2020-10-24;2020-11-09;Guyane;Guyane;2020-2021
Vacances de Printemps;;2021-04-01;2021-04-19;Guyane;Guyane;2020-2021
