description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Noël;;2017-12-23;2018-01-08;Nancy-Metz;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Nancy-Metz;Zone B;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Nancy-Metz;Zone B;2018-2019
Vacances de Printemps;;2019-04-06;2019-04-23;Nancy-Metz;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Nancy-Metz;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Nancy-Metz;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Nancy-Metz;Zone B;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Nancy-Metz;Zone B;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Nantes;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Nantes;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Nantes;Zone B;2017-2018
Vacances de Printemps;;2021-04-24;2021-05-10;Nantes;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Nantes;Zone B;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Nice;Zone B;2017-2018
Vacances de Noël;;2017-12-23;2018-01-08;Nice;Zone B;2017-2018
Vacances d'Hiver;;2019-02-09;2019-02-25;Nice;Zone B;2018-2019
Vacances d'Hiver;;2020-02-15;2020-03-02;Nice;Zone B;2019-2020
Vacances de Printemps;;2020-04-11;2020-04-27;Nice;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Nice;Zone B;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Nice;Zone B;2020-2021
Vacances de Printemps;;2021-04-24;2021-05-10;Nice;Zone B;2020-2021
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Orléans-Tours;Zone B;2017-2018
Pont de l'Ascension;;2021-05-13;2021-05-17;Orléans-Tours;Zone B;2020-2021
Vacances d'Hiver;;2018-02-24;2018-03-12;Reims;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Reims;Zone B;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Reims;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Reims;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Reims;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Reims;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Reims;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Reims;Zone B;2020-2021
Vacances d'Été;;2021-07-05;;Reims;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Rennes;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Rennes;Zone B;2020-2021
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Rouen;Zone B;2017-2018
Vacances d'Hiver;;2019-02-09;2019-02-25;Rouen;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Rouen;Zone B;2018-2019
Vacances d'Hiver;;2018-02-24;2018-03-12;Strasbourg;Zone B;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Strasbourg;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Strasbourg;Zone B;2019-2020
Vacances de Printemps;;2021-04-24;2021-05-10;Strasbourg;Zone B;2020-2021
Vacances d'Hiver;;2019-02-23;2019-03-11;Créteil;Zone C;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Créteil;Zone C;2019-2020
Vacances de Printemps;;2020-04-04;2020-04-20;Créteil;Zone C;2019-2020
Vacances d'Été;;2021-07-05;;Créteil;Zone C;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Montpellier;Zone C;2017-2018
Pont de l'Ascension;;2020-05-20;2020-05-25;Montpellier;Zone C;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Montpellier;Zone C;2020-2021
Vacances d'Hiver;;2018-02-17;2018-03-05;Paris;Zone C;2017-2018
Vacances de Printemps;;2018-04-14;2018-04-30;Paris;Zone C;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Paris;Zone C;2017-2018
Vacances de la Toussaint;;2019-10-19;2019-11-04;Paris;Zone C;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Paris;Zone C;2020-2021
Vacances de Printemps;;2021-04-17;2021-05-03;Paris;Zone C;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Paris;Zone C;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Toulouse;Zone C;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Toulouse;Zone C;2017-2018
Vacances de Noël;;2020-12-19;2021-01-04;Toulouse;Zone C;2020-2021
Vacances d'Été;;2021-07-05;;Toulouse;Zone C;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Versailles;Zone C;2017-2018
Vacances de Printemps;;2018-04-14;2018-04-30;Versailles;Zone C;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Versailles;Zone C;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Versailles;Zone C;2017-2018
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Versailles;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Versailles;Zone C;2018-2019
Vacances d'Hiver;;2020-02-08;2020-02-24;Versailles;Zone C;2019-2020
Pont de l'Ascension;;2020-05-20;2020-05-25;Versailles;Zone C;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Versailles;Zone C;2020-2021
Vacances d'Hiver;;2021-02-13;2021-03-01;Versailles;Zone C;2020-2021
Vacances d'Été;;2021-07-05;;Versailles;Zone C;2020-2021
Vacances de la Toussaint;;2009-10-26;2009-11-09;Corse;Corse;2009-2010
Vacances d'Été;;2010-07-08;2010-09-08;Corse;Corse;2009-2010
